Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Lower-Cost Insider Threat Detection Framework Based on User Cluster and Behavior Feature Analysis,M. He; W. Li; Z. Xu,"Anhui Province Key Laboratory of Digital Security, University of Science and Technology of China Hefei, Anhui, China; Anhui Province Key Laboratory of Digital Security, University of Science and Technology of China Hefei, Anhui, China; Anhui Province Key Laboratory of Digital Security, University of Science and Technology of China Hefei, Anhui, China","2024 IEEE International Conference on Security, Privacy, Anonymity in Computation and Communication and Storage (SpaCCS)",25-Apr-25,2024,,,19,26,"Insider threat are actions by insiders that violate an organization's security policies, and have become a serious challenge to organizational security in digital and cloud-based environments nowadays. As a result, insider threat detection has become one of the key strategies to secure organizational information assets. However, existing methods are costly to maintain a model for each user, and in order to maintain a high detection accuracy, these methods are overly sensitive to user behavior, which leads to a high false positive and negatively affects the detection of user behavior. In this paper, we propose a lower-cost insider threat detection framework (LITD) based on user cluster and user behavior analysis. LITD clusters user classes according to user behavioral features, and trains deep learning models for each user class instead of a single user, thereby reducing the detection cost. In addition, we design a log content detection model to detect threatening information in specific log content. A risk detection and assessment model is built to use a risk list for final determination, and it significantly reduces the false positive while ensuring detection accuracy based on the combined assessment of multiple risks. A series of experiments are conducted using the publicly available CERT dataset, the results show that LITD outperforms state-of-the-art methods in the four metrics of Accuracy, Precision, Recall, and False Positive Rate (FPR), with the FPR metric being considerably lower.",,979-8-3315-2107-3,10.1109/SpaCCS63173.2024.00010,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10973556,Insider Threat Detection;User Cluster;User Behavior Feature Analysis;Deep Learning,Measurement;Deep learning;Analytical models;Privacy;Costs;Accuracy;Large language models;Feature extraction;Threat assessment;Security,,,,29,IEEE,25-Apr-25,30 Oct.-2 Nov. 2024,30 Oct.-2 Nov. 2024,IEEE,IEEE Conferences
Supervised Learning for Insider Threat Detection Using Stream Mining,P. Parveen; Z. R. Weger; B. Thuraisingham; K. Hamlen; L. Khan,"Department of Computer Science, University of Texas, Dallas, USA; Department of Computer Science, University of Texas, Dallas, USA; Department of Computer Science, University of Texas, Dallas, USA; Department of Computer Science, University of Texas, Dallas, USA; Department of Computer Science, University of Texas, Dallas, USA",2011 IEEE 23rd International Conference on Tools with Artificial Intelligence,15-Dec-11,2011,,,1032,1039,Insider threat detection requires the identification of rare anomalies in contexts where evolving behaviors tend to mask such anomalies. This paper proposes and tests an ensemble-based stream mining algorithm based on supervised learning that addresses this challenge by maintaining an evolving collection of multiple models to classify dynamic data streams of unbounded length. The result is a classifier that exhibits substantially increased classification accuracy for real insider threat streams relative to traditional supervised learning (traditional SVM and one-class SVM) and other single-model approaches.,2375-0197,978-0-7695-4596-7,10.1109/ICTAI.2011.176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6103467,anomaly detection;support vector machine;insider threat;ensemble,Support vector machines;Data models;Training data;Supervised learning;Training;Feature extraction;Predictive models,,30,,44,IEEE,15-Dec-11,7-9 Nov. 2011,7-9 Nov. 2011,IEEE,IEEE Conferences
DMFI: A Dual-Modality Log Analysis Framework for Insider Threat Detection with LoRA-Tuned Language Models,K. Kong; D. Liu; X. Jin; G. Geng; Z. Li; J. Weng,"College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; School of Advanced Technology, Xi'an Jiaotong-Liverpool University, Suzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China",2025 IEEE International Conference on Data Mining (ICDM),25-Feb-26,2025,,,387,396,"Insider threat detection (ITD) poses a persistent and high-impact challenge in cybersecurity due to the subtle, long-term, and context-dependent nature of malicious insider behaviors. Traditional models often struggle to capture semantic intent and complex behavior dynamics, while existing LLMbased solutions face limitations in prompt adaptability and modality coverage. To bridge this gap, we propose DMFI, a dual-modality framework that integrates semantic inference with behavior-aware fine-tuning. DMFI converts raw logs into two structured views: (1) a semantic view that processes content-rich artifacts (e.g., emails, https) using instruction-formatted prompts; and (2) a behavioral abstraction, constructed via a 4 W -guided (When-Where-What-Which) transformation to encode contextual action sequences. Two LoRA-enhanced LLMs are fine-tuned independently, and their outputs are fused via a lightweight MLP-based decision module. We further introduce DMFI-B, a discriminative adaptation strategy that separates normal and abnormal behavior representations, improving robustness under severe class imbalance. Experiments on CERT r4.2 and r5.2 datasets demonstrate that DMFI outperforms state-of-the-art methods in detection accuracy. Our approach combines the semantic reasoning power of LLMs with structured behavior modeling, offering a scalable and effective solution for real-world insider threat detection.",2374-8486,979-8-3315-9599-9,10.1109/ICDM65498.2025.00046,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11391790,Insider Threat Detection;Large Language Models;Dual-Modality Learning;Semantic Analysis;LoRA Finetuning,Adaptation models;Large language models;Semantics;Threat assessment;Robustness;Data models;Cognition;Data mining;Computer security;Faces,,,,32,IEEE,25-Feb-26,12-15 Nov. 2025,12-15 Nov. 2025,IEEE,IEEE Conferences
Scenario-Based Insider Threat Detection From Cyber Activities,P. Chattopadhyay; L. Wang; Y. -P. Tan,"Department of Computer Science and Engineering, IIT (BHU) Varanasi, Varanasi, India; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Computational Social Systems,12-Sep-18,2018,5,3,660,675,"An insider threat scenario refers to the outcome of a set of malicious activities caused by intentional or unintentional misuse of the organization's systems, networks, data, and resources. Prevention of insider threat is difficult, since trusted partners of the organization are involved in it, who have authorized access to these confidential/sensitive resources. The state-of-the-art research on insider threat detection mostly focuses on developing unsupervised behavioral anomaly detection techniques with the objective of finding out anomalousness or abnormal changes in user behavior over time. However, an anomalous activity is not necessarily malicious that can lead to an insider threat scenario. As an improvement to the existing approaches, we propose a technique for insider threat detection from time-series classification of user activities. Initially, a set of single-day features is computed from the user activity logs. A time-series feature vector is next constructed from the statistics of each single-day feature over a period of time. The label of each time-series feature vector (whether malicious or nonmalicious) is extracted from the ground truth. To classify the imbalanced ground-truth insider threat data consisting of only a small number of malicious instances, we employ a cost-sensitive data adjustment technique that undersamples the nonmalicious class instances randomly. As a classifier, we employ a two-layered deep autoencoder neural network and compare its performance with other popularly used classifiers: random forest and multilayer perceptron. Encouraging results are obtained by evaluating our approach using the CMU Insider Threat Data, which is the only publicly available insider threat data set consisting of about 14-GB web-browsing logs, along with logon, device connection, file transfer, and e-mail log files. We observe that both deep autoencoder and random forest classifiers classify the dataadjusted time-series feature set with high precision, recall, and f-score. Although multilayer perceptron has a high recall, it suffers from a lower precision and f-score compared to the other two classifiers.",2329-924X,,10.1109/TCSS.2018.2857473,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8444978,Cost-sensitive learning;imbalanced data;insider threat;time-series classification,Organizations;Anomaly detection;Electronic mail;Feature extraction;Forestry;Web pages;Thumb,,98,,67,IEEE,23-Aug-18,Sept. 2018,,IEEE,IEEE Journals
Robust Anomaly-Based Insider Threat Detection Using Graph Neural Network,J. Xiao; L. Yang; F. Zhong; X. Wang; H. Chen; D. Li,"School of Systems Science and Engineering, Sun Yat-sen University, Guangzhou, China; National Key Laboratory of Science and Technology on Information System Security, Institute of System Engineering, Chinese Academy of Military Science, Beijing, China; School of Systems Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Systems Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Systems Science and Engineering, Sun Yat-sen University, Guangzhou, China; Command and Control Engineering College, Army Engineering University of PLA, Nanjing, China",IEEE Transactions on Network and Service Management,9-Oct-23,2023,20,3,3717,3733,"Misuse or malicious access to critical assets of information systems by insiders usually causes significant loss to organizations. The issue of insider threat detection for information systems has received many researchers’ attention in both security and data mining fields, and a lot of related research results were presented. However, there are still many challenges in capturing the behavior difference between malicious insiders and normal users accurately, such as lack of labeled insider threats, the subtle and adaptive nature of insider threats, complexity, heterogeneity, sparsity of the underlying data, etc. To detect insider threats with large and complex audit data, a Multi-Edge Weight Relational Graph Neural Network method (MEWRGNN) for robust anomaly detection is proposed in this paper. Unlike most existing approaches, the MEWRGNN adopts several graph neural networks to capture the contextual relationship of user behaviors over a period of time, which is a critical factor for achieving accurate anomaly identification. The MEWRGNN achieves a certain degree of interpretability through ranking the contribution of different edge-representation features. Evaluation experimental results demonstrate that the MEWRGNN can learn a model from limited sample data sets, and achieve quick and accurate insider threat detection performance. In addition, other feature ranking results allow providing security analysts with understandable insights for investigating the detected insider threats.",1932-4537,,10.1109/TNSM.2022.3222635,"National Natural Science Foundation of China(grant numbers:62102466); Fundamental Research Funds for the Central Universities, Sun Yat-sen University(grant numbers:22qntd1602); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9953125,Anomaly detection;insider threat;graph neural network,Feature extraction;Security;Psychology;Information systems;Graph neural networks;Deep learning;Data mining,,33,,51,IEEE,16-Nov-22,Sept. 2023,,IEEE,IEEE Journals
MITD: A Multi-Dimensional Insider Threat Detection Framework Based On Deep Learning,L. Peng; J. Feng; Y. Huang; H. Zhou; H. Qin; F. Qiu,"School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Mechanical Engineering and Vehicle Engineering, Beijing Institute of Technology, Beijing, China","2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",7-Mar-25,2024,,,1,8,"In this paper, we propose a multi-dimensional insider threat detection framework (MITD), which aims to improve the accuracy of detection by comprehensively analyzing user behavior patterns. We combine statistical features and behavioral sequences and use sequence pattern recognition, graph structure information mining, and adaptive feature extraction methods. It can reveal user behavior from multiple dimensions. Then, we intelligently fuse the extracted multi-dimensional features to generate a comprehensive feature representation. It is further fused with statistical features through two strategies: concat and bitwise addition. Experimental results based on the CERT r4.2 dataset show that the MITD framework significantly improves in terms of accuracy, precision, recall, and F1 score, reaching 93.2% accuracy and 93.5% recall. The results show that the MITD framework effectively improves the performance of insider threat detection and has great potential in practical applications.",,979-8-3315-0739-8,10.1109/CISP-BMEI64163.2024.10906151,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10906151,insider threat;threat detection;feature extraction;feature fusion,Measurement;Adaptation models;Accuracy;Fuses;Neural networks;Signal processing;Feature extraction;Threat assessment;Pattern recognition;Informatics,,,,27,IEEE,7-Mar-25,26-28 Oct. 2024,26-28 Oct. 2024,IEEE,IEEE Conferences
DPI-ITD: A Dual-Perspective Information-Driven Framework for Insider Threat Detection in IoT Systems,K. Kong; X. Jin; D. Liu; S. Xu; Z. Liu; G. Geng,"College of Cyber Security, Jinan University, Guangzhou, China; Intelligent Science Department, School of Advanced Technology, Xi’an Jiaotong-Liverpool University, Suzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China",IEEE Internet of Things Journal,24-Sep-25,2025,12,19,40731,40749,"In Internet of Things (IoT) environments, insider threat detection has advanced with the integration of deep learning techniques, which can effectively model complex behaviors and heterogeneous data. However, the fragmented nature of IoT logs, behavioral redundancy, and the sparsity of insider actions increase detection complexity. While fine-grained behavior classification can improve accuracy, it also raises computational overhead, limiting applicability in resource-constrained scenarios. To address these challenges, we propose dual-perspective information-driven framework for insider threat detection (DPI-ITD), which combines user-centric and behavior-centric analyses to enhance detection efficiency and accuracy. DPI-ITD introduces a symbolic tagging strategy guided by tagging scores (TS), derived from user action diversity and behavioral context, to filter redundant fragments and focus on high-impact behaviors. It further incorporates an adaptive embedding mechanism based on GloVe, which dynamically adjusts the context window for rare but critical actions. Experiments on multiple closed and open behavioral datasets demonstrate DPI-ITD’s superior detection performance, scalability, and efficiency, confirming its suitability for lightweight deployment in real-world IoT security systems.",2327-4662,,10.1109/JIOT.2025.3589636,"MIIT Project Industrial Internet identification resolution system security monitoring and protection(grant numbers:TC220H078); Guangdong Macao Science and Technology Cooperation Project(grant numbers:2022A050520013,0059/2021/AGJ); Qing Lan Project in Jiangsu universities(grant numbers:XJTLU RDF-22-01-020); Pearl River Talents Plan; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11082266,Adaptive embedding;behavior analysis;dual-perspective;GloVe;insider threat;Internet of Things (IoT);sequence tagging,Tagging;Internet of Things;Threat assessment;Security;Vectors;Data models;Analytical models;Feature extraction;Deep learning;Context modeling,,3,,66,IEEE,16-Jul-25,"1 Oct.1, 2025",,IEEE,IEEE Journals
Double-Layer Detection of Internal Threat in Enterprise Systems Based on Deep Learning,D. He; X. Lv; X. Xu; S. Chan; K. -K. R. Choo,"School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China; School of Information Engineering, Jiangxi University of Science and Technology, Ganzhou, China; School of Software Engineering, East China Normal University, Shanghai, China; Department of Electrical Engineering, City University of Hong Kong, Kowloon Tong, Hong Kong; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA",IEEE Transactions on Information Forensics and Security,7-May-24,2024,19,,4741,4751,"In recent years, phishing email-mediated attacks are proliferating. When victims are enterprise employees, internal security of the enterprise systems will also be threatened. Currently, blockchain technology can effectively improve the security and privacy of traditional email, but attacks initiated from within are still fatal. Therefore, we propose a double-layer detection framework in this paper. Firstly, from the perspective of individual security, Long Short-Term Memory (LSTM) and extreme gradient boosting tree (XGBoost) are used to build a phishing email detection model. The model generalization ability and precision rate are improved by adding a custom loss function in the training process. Then, from the perspective of group security, Bidirectional LSTM and Attention mechanism are used to build an insider threat detection model. Our model has better results for multi-domain time series and anomaly detection in comparison to different models and existing insider threat detection models. We test the effectiveness of the proposed framework through real phishing email cases and insider threat attack events on our simulation verification platform. The experimental results demonstrate that our proposed framework can protect enterprise systems from phishing attacks and insider threats. We also point out that this framework can be applied to mitigate the increasingly serious blockchain security threats.",1556-6021,,10.1109/TIFS.2024.3372771,"National Key Research and Development Program of China(grant numbers:2021YFB2700900); National Natural Science Foundation of China(grant numbers:62376074); Shenzhen Science and Technology Program(grant numbers:KCXST20221021111404010,JSGG20220831103400002,JSGGKQTD20221101115655027,KJZD20230923114405011,KCXFZ20230731093001002,ZDSYS20230626091203008); Fok Ying Tong Education Foundation(grant numbers:171058); University Grants Committee of the Hong Kong Special Administrative Region, China(grant numbers:11201421); Cloud Technology Endowed Professorship; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10458116,Phishing attack;insider threat;deep learning;double-layer detection;simulation verification,Electronic mail;Phishing;Feature extraction;Behavioral sciences;Threat assessment;Security;Deep learning,,17,,53,IEEE,4-Mar-24,2024,,IEEE,IEEE Journals
Anomaly-Based Insider Threat Detection Using Deep Autoencoders,L. Liu; O. De Vel; C. Chen; J. Zhang; Y. Xiang,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia; Defence Science and Technology Group, Australian Department of Defence, Edinburgh, SA, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia",2018 IEEE International Conference on Data Mining Workshops (ICDMW),10-Feb-19,2018,,,39,48,"In recent years, the malicious insider threat has become one of the most significant cyber security threats that an organisation can be subject to. Due to an insider's natural ability to evade deployed information security mechanisms such as firewalls and endpoint protections, the detection of an insider threat can be challenging. Moreover, compared to the volume of audit data that an organization collects for the purpose of intrusion/anomaly detection, the digital footprint left by a malicious insider's action can be minuscule. To detect insider threats from large and complex audit data, in this paper, we propose a detection system that implements anomaly detection using an ensemble of deep autoencoders. Each autoencoder in the ensemble is trained using a certain category of audit data, which represents a user's normal behaviour accurately. The reconstruction error obtained between the original and the decoded data is used to measure whether any behaviour is anomalous or not. After the data has been processed by the individually trained autoencoders and the respective reconstruction errors obtained, a joint decision-making mechanism is used to report a user's overall maliciousness score. Numerical experiments are conducted using a benchmark dataset for insider threat detection. Results indicate that the proposed detection system is able to detect all of the malicious insider actions with a reasonable false positive rate.",2375-9259,978-1-5386-9288-2,10.1109/ICDMW.2018.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8637390,"Insider threats, data analytics, deep autoencoder, cyber security",Feature extraction;Deep learning;Data mining;Australia;Software;Electrical engineering;Computers,,61,,25,IEEE,10-Feb-19,17-20 Nov. 2018,17-20 Nov. 2018,IEEE,IEEE Conferences
Design And Analysis Of Insider Threat Detection And Prediction System Using Machine Learning Techniques,A. Mittal; U. Garg,"CSE Department, Chandigarh University, Mohali, Punjab, India; CSE Department, Chandigarh University, Mohali, Punjab, India","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)",21-Jul-23,2023,,,1,8,"Data is critical for large as well as small organizations as customer trust depends upon the privacy of information maintained. The key tool that every organization uses for assessing resources is the Internet. The use of technology and the Internet comes with a cost. This cost is in the form of cyber-attacks that exist over the Internet. One of the hardest attacks to detect is the insider That occurs from within the organization. The organization must distinguish between the employers as well as the insiders. This paper purposed an optimization-based strategy for the detection of insider threats. Spider monkey optimization is applied to detect the sentiments present within the R4.2 cert data set. This data set has been generated by the university of Carnegie Mellon and is used to detect insider threats. The overall process of insider threat detection Starts with downloading the data set from github. The downloaded files have been compressed so to use them; they must be extracted. A large number of files are contained within the cert dataset. For the proposed work(SMLDA optimization), email and psychometric datasets are shortlisted. After extracting the dataset, pre-processing phase is applied. Within pre-processing, noise in terms of missing values is tackled. This is achieved by rejecting records containing null values within individual cells of the dataset. after pre-processing, dataset features are extracted using the content field of the dataset along with the natural language processing toolbox. Feature selection is performed using the Spyder monkey approach. Selection will be based on the contribution factor calculated with linear discriminant analysis. Using SMO, the highest contribution document built with LDA will be selected. In the end, the polarity of the document is calculated using the TextBlob library. The result of the SMO-driven sentiment analysis (anger, neutral, negative, positive, and sad) is compared with the plain LDA approach. SMO-driven sentiment analysis generates a classification accuracy of 99% and the LDA approach generates a classification accuracy of 90%. Furthermore, it was discovered that negative and sad sentiments most resulted in insider threats.",,978-1-6654-9360-4,10.1109/ICECCT56650.2023.10179686,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179686,Cert dataset;LDA;SMO;sentiment analysis,Sentiment analysis;Costs;Null value;Organizations;Feature extraction;Threat assessment;Software,,6,,23,IEEE,21-Jul-23,22-24 Feb. 2023,22-24 Feb. 2023,IEEE,IEEE Conferences
Hierarchical Classification Using Ensemble of Feed-Forward Networks for Insider Threat Detection from Activity Logs,S. Singh; P. Chattopadhyay,"Department of Electrical Engineering, National Institute of Technology, Andhra Pradesh, India; Department of Computer Science and Engineering, Indian Institute of Technology (BHU), Varanasi, India",2023 IEEE 20th India Council International Conference (INDICON),27-Feb-24,2023,,,782,787,"Insider threat is a significant cybersecurity concern that poses challenges in detection due to its infrequent occurrence and diverse data types. Recent Machine and Deep Learning-based approaches to insider threat detection mostly focus on using sophisticated feature extraction models. However, an ensemble of relatively simpler neural network models is also known to be an effective classifier and there has not been much work on insider threat detection with supervised ensemble models, which we aim to study in this work. The proposed approach follows a two-stage hierarchical process in which the first stage involves training multiple Deep Feed Forward Neural Network models on different subsets of data to identify whether a time-series of user activity is either malicious or non-malicious. The second stage involves identifying the threat scenario if the time series activity is classified as malicious in the first stage. The individual learners in the ensemble are trained with a balanced dataset formed by random undersampling of the majority class instances without replacement to prevent biasedness towards any particular class during the prediction. Further, no two learners are trained using the same dataset which helps in learning accurate decision boundaries between the target classes. Experiments on the CMU CERT insider threat data (version 4.2) verify the effectiveness of our approach in identifying the different insider threat categories.",2325-9418,979-8-3503-0559-3,10.1109/INDICON59947.2023.10440886,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10440886,Insider threat;Ensemble Learning;Random Undersampling;Hierarchical approach;Time-Series data,Training;Neural networks;Time series analysis;Feature extraction;Threat assessment;Data models;Feeds,,1,,37,IEEE,27-Feb-24,14-17 Dec. 2023,14-17 Dec. 2023,IEEE,IEEE Conferences
Insider Threat Detection Based on Personalized User Modeling,L. Cui; Y. Wang; Z. Long; J. Wang; W. Shen; J. Wang,"Guangdong Power Grid Co Ltd., China Southern Power Grid Cyberspace Security Joint Laboratory, Guangzhou, China; Guangdong Power Grid Co Ltd., China Southern Power Grid Cyberspace Security Joint Laboratory, Guangzhou, China; Guangdong Power Grid Co Ltd., China Southern Power Grid Cyberspace Security Joint Laboratory, Guangzhou, China; Guangdong Power Grid Co Ltd., China Southern Power Grid Cyberspace Security Joint Laboratory, Guangzhou, China; Guangdong Power Grid Co Ltd., China Southern Power Grid Cyberspace Security Joint Laboratory, Guangzhou, China; College of Electronics and Information Engineering, Tongji University, Shanghai, China",2024 7th International Conference on Computer Information Science and Application Technology (CISAT),2-Oct-24,2024,,,868,873,"In the information age, internal threats have become a major security challenge for enterprises and organizations. Traditional methods of detecting internal threats, due to their limitations, struggle to address the complex and variable scenarios of internal threats. To solve this problem, this paper proposes an internal threat detection model based on personalized modeling, ITDPUB. First, user behavior sequences are constructed by integrating user information to represent user activities. Then, a language model is used to perform feature learning on these behavior sequences to capture the underlying patterns in user behavior. Finally, a bidirectional long short-term memory (BiLSTM) network is employed to detect internal threats based on the extracted user features. Experimental results on the CERT insider threat dataset indicate that ITDPUB achieves a high AUC score, effectively improving the accuracy of internal threat detection.",,979-8-3503-7510-7,10.1109/CISAT62382.2024.10695344,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10695344,Insider Threat Detection;User and Entity Behavior Analytics;Deep Learning;Personalized User Modeling,Representation learning;Analytical models;Accuracy;Recurrent neural networks;Organizations;Feature extraction;Threat assessment;Security;Personnel;Long short term memory,,,,21,IEEE,2-Oct-24,12-14 July 2024,12-14 July 2024,IEEE,IEEE Conferences
Temporal Semantic Parsing for Insider Threat Activity Modeling and Detection,M. AlSlaiman; C. Wang; M. Salman; A. Asiri,"Department of Computer Science and Engineering, Wright State University, Dayton, Ohio, USA; Department of Computer Science and Engineering, Wright State University, Dayton, Ohio, USA; Department of Computer Science and Engineering, Wright State University, Dayton, Ohio, USA; Department of Computer Science and Engineering, Wright State University, Dayton, Ohio, USA",NAECON 2024 - IEEE National Aerospace and Electronics Conference,18-Sep-24,2024,,,44,49,"Insider attacks have become increasingly frequent and more difficult to detect. Modeling user activities to capture the temporal features and connections between activities can enhance the detection of insider threats. In this work, we present a novel insider activity modeling approach that uses effective representations of user activities to enhance the detection performance. The proposed activity modeling and detection system has been evaluated using log files from the CMU CERT r4.2 insider dataset that provides the activities of employees for eighteen working months. Our results have shown that the proposed system achieves high malicious activity identification performance with the proposed data modeling techniques.",2379-2027,979-8-3503-6762-1,10.1109/NAECON61878.2024.10670626,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670626,Kernel density estimation;Insider threat detection;Deep learning;Long short-term memory;Semantic parsing,Accuracy;Semantics;Aerospace electronics;Feature extraction;Data models;Kernel,,,,18,IEEE,18-Sep-24,15-18 July 2024,15-18 July 2024,IEEE,IEEE Conferences
Predictive Modeling of Insider Threats and Corporate Espionage Through Employee Activity Analysis,R. Srivarshini; S. J; N. Senthamilarasi,"Department of Computer Science Engineering with Data Science, Sathyabama Institute of Science and Technology, Chennai, India; Department of Computer Science Engineering with Data Science, Sathyabama Institute of Science and Technology, Chennai, India; Department of Computer Science Engineering, Sathyabama Institute of Science and Technology, Chennai, India",2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),4-Mar-26,2026,,,936,941,"Insider threats are a critical challenge to organizational security because they emanate from trusted individuals with authorized, legitimate system access, making them difficult to detect using traditional perimeter-based defenses. These internal risks can cause data breaches, loss of intellectual property, and operational interruptions. The proposed solution is an Insider Threat Detection System that implements machine learning with real-time behavioral monitoring combined with advanced analytics in order to detect high-risk activities before any damage can occur. The objective of the following solution is to provide an intelligent, proactive, behavioral anomaly detection mechanism for organizations that can monitor employee behavior through both supervised models, such as Random Forest for threat classification, and unsupervised models, such as Isolation Forest for anomaly detection. It processes a variety of indicators of behavior, such as logs of access, email interactions, file transfers, and working hours, while assigning dynamic risk scores. Its novelty lies in integrating weighted behavioral analytics, dimensionality reduction by PCA, and a real-time Streamlit dashboard, thus enabling precise identification and prompt incident responses.",,979-8-3315-5519-1,10.1109/ICMCSI67283.2026.11412695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11412695,Insider Threats;Behavioral Monitoring;Data Security;Anomaly Detection;Risk Analysis;Organizational Safety;Cybersecurity Analytics,Dimensionality reduction;Analytical models;Visual analytics;Scalability;Semantics;Turning;Real-time systems;Threat assessment;Monitoring;Anomaly detection,,,,15,IEEE,4-Mar-26,7-9 Jan. 2026,7-9 Jan. 2026,IEEE,IEEE Conferences
Detecting Unknown Insider Threat Scenarios,W. T. Young; A. Memory; H. G. Goldberg; T. E. Senator,"Leidos, Inc., Arlington, VA, USA; Leidos, Inc., Arlington, VA, USA; Leidos, Inc., Arlington, VA, USA; Leidos, Inc., Arlington, VA, USA",2014 IEEE Security and Privacy Workshops,20-Nov-14,2014,,,277,288,"This paper reports results from a set of experiments that evaluate an insider threat detection prototype on its ability to detect scenarios that have not previously been seen or contemplated by the developers of the system. We show the ability to detect a large variety of insider threat scenario instances imbedded in real data with no prior knowledge of what scenarios are present or when they occur. We report results of an ensemble-based, unsupervised technique for detecting potential insider threat instances over eight months of real monitored computer usage activity augmented with independently developed, unknown but realistic, insider threat scenarios that robustly achieves results within 5% of the best individual detectors identified after the fact. We explore factors that contribute to the success of the ensemble method, such as the number and variety of unsupervised detectors and the use of prior knowledge encoded in scenario-based detectors designed for known activity patterns. We report results over the entire period of the ensemble approach and of ablation experiments that remove the scenario-based detectors.",,978-1-4799-5103-1,10.1109/SPW.2014.42,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6957312,anomaly detection;insider threat;unsupervised ensembles;experimental case study,Detectors;Feature extraction;Organizations;Uniform resource locators;Prototypes;Monitoring;Computers,,22,2,12,IEEE,20-Nov-14,17-18 May 2014,17-18 May 2014,IEEE,IEEE Conferences
